"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2016年8月","00000","全国","127067000","","3.2","","116.2","","","","",""
"2016年9月","00000","全国","127002000","","3.0","","116.7","","","","",""
"2016年10月","00000","全国","127042000","","2.9","","117.4","","","","",""
"2016年11月","00000","全国","127055000","","3.0","","119.1","","","","",""
"2016年12月","00000","全国","127044000","","2.9","","119.2","","","","",""
"2017年1月","00000","全国","126955000","","3.0","","118.7","","","","",""
"2017年2月","00000","全国","126933000","","2.8","","119.4","","","","",""
"2017年3月","00000","全国","126906000","","2.8","","119.5","","","","",""
"2017年4月","00000","全国","126920000","","2.9","","120.7","","","","",""
"2017年5月","00000","全国","126893000","","3.1","","120.6","","","","",""
"2017年6月","00000","全国","126943000","","2.8","","121.1","","","","",""
"2017年7月","00000","全国","126972000","","2.8","","120.4","","","","",""
"2017年8月","00000","全国","126949000","","2.8","","122.0","","","","",""
"2017年9月","00000","全国","126881000","","2.8","","121.0","","","","",""
"2017年10月","00000","全国","126919000","","2.7","","121.2","","","","",""
"2017年11月","00000","全国","126934000","","2.6","","122.8","","","","",""
"2017年12月","00000","全国","126922000","","2.6","","124.2","","","","",""
"2018年1月","00000","全国","126825000","","2.4","","122.3","","","","",""
"2018年2月","00000","全国","126851000","","2.5","","122.0","","","","",""
"2018年3月","00000","全国","126743000","","2.5","","122.4","","","","",""
"2018年4月","00000","全国","126760000","","2.6","","122.8","","","","",""
"2018年5月","00000","全国","126732000","","2.3","","122.7","","","","",""
"2018年6月","00000","全国","126783000","","2.5","","122.3","","","","",""
"2018年7月","00000","全国","126811000","","2.5","","121.6","","","","",""
"2018年8月","00000","全国","126785000","","2.5","","121.9","","","","",""
"2018年9月","00000","全国","126714000","","2.4","","119.8","","","","",""
"2018年10月","00000","全国","126749000","","2.4","","121.7","","","","",""
"2018年11月","00000","全国","126765000","","2.4","","119.9","","","","",""
"2018年12月","00000","全国","126753000","","2.3","","119.0","","","","",""
"2019年1月","00000","全国","126641000","","2.4","","117.4","","","","",""
"2019年2月","00000","全国","126642000","","2.3","","119.5","","","","",""
