"時点","地域コード","地域","完全失業率（男女計）【%】","注記","日経平均株価【円】","注記","消費者物価指数（総合）2020年基準","注記","景気動向指数（先行）2020年基準","注記"
"2018年10月","00000","全国","2.4","","21920.46","","100.2","","110.8",""
"2018年11月","00000","全国","2.4","","22351.06","","100.0","","110.4",""
"2018年12月","00000","全国","2.3","","20014.77","","99.7","","108.7",""
"2019年1月","00000","全国","2.4","","20773.49","","99.7","","108.1",""
"2019年2月","00000","全国","2.3","","21385.16","","99.7","","108.9",""
"2019年3月","00000","全国","2.5","","21205.81","","99.7","","108.1",""
"2019年4月","00000","全国","2.6","","22258.73","","100.0","","107.5",""
"2019年5月","00000","全国","2.4","","20601.19","","100.0","","107.2",""
"2019年6月","00000","全国","2.3","","21275.92","","99.8","","105.9",""
"2019年7月","00000","全国","2.3","","21521.53","","99.8","","105.2",""
"2019年8月","00000","全国","2.3","","20704.37","","100.0","","104.1",""
"2019年9月","00000","全国","2.4","","21755.84","","100.1","","103.7",""
"2019年10月","00000","全国","2.4","","22927.04","","100.4","","102.9",""
"2019年11月","00000","全国","2.2","","23293.91","","100.5","","102.5",""
"2019年12月","00000","全国","2.1","","23656.62","","100.5","","103.5",""
"2020年1月","00000","全国","2.3","","23205.18","","100.5","","102.1",""
"2020年2月","00000","全国","2.3","","21142.96","","100.3","","104.0",""
"2020年3月","00000","全国","2.6","","18917.01","","100.3","","95.7",""
"2020年4月","00000","全国","2.8","","20193.69","","100.2","","88.3",""
"2020年5月","00000","全国","2.9","","21877.89","","100.1","","88.8",""
"2020年6月","00000","全国","2.8","","22288.14","","99.9","","93.9",""
"2020年7月","00000","全国","2.9","","21710.00","","100.0","","97.4",""
"2020年8月","00000","全国","3.0","","23139.76","","100.1","","100.0",""
"2020年9月","00000","全国","3.0","","23185.12","","99.9","","104.6",""
"2020年10月","00000","全国","3.1","","22977.13","","99.8","","106.4",""
"2020年11月","00000","全国","2.8","","26433.62","","99.5","","109.2",""
"2020年12月","00000","全国","2.8","","27444.17","","99.3","","109.6",""
"2021年1月","00000","全国","2.9","","27663.39","","99.8","","110.9",""
"2021年2月","00000","全国","2.8","","28966.01","","99.8","","112.4",""
"2021年3月","00000","全国","2.7","","29178.80","","99.9","","115.3",""
"2021年4月","00000","全国","3.0","","28812.63","","99.1","","115.1",""
"2021年5月","00000","全国","3.1","","28860.08","","99.4","","115.8",""
"2021年6月","00000","全国","3.0","","28791.53","","99.5","","116.9",""
"2021年7月","00000","全国","2.8","","27283.59","","99.7","","117.1",""
"2021年8月","00000","全国","2.8","","28089.54","","99.7","","114.8",""
"2021年9月","00000","全国","2.8","","29452.66","","100.1","","113.2",""
"2021年10月","00000","全国","2.7","","28892.69","","99.9","","113.9",""
"2021年11月","00000","全国","2.7","","27821.76","","100.1","","115.9",""
"2021年12月","00000","全国","2.5","","28791.71","","100.1","","116.5",""
"2022年1月","00000","全国","2.7","","27001.98","","100.3","","114.8",""
"2022年2月","00000","全国","2.6","","26526.82","","100.7","","113.7",""
"2022年3月","00000","全国","2.6","","27821.43","","101.1","","114.1",""
"2022年4月","00000","全国","2.7","","26847.90","","101.5","","114.7",""
"2022年5月","00000","全国","2.8","","27279.80","","101.8","","113.5",""
"2022年6月","00000","全国","2.7","","26393.04","","101.8","","113.4",""
"2022年7月","00000","全国","2.5","","27801.64","","102.3","","112.5",""
"2022年8月","00000","全国","2.6","","28091.53","","102.7","","114.1",""
"2022年9月","00000","全国","2.7","","25937.21","","103.1","","111.6",""
"2022年10月","00000","全国","2.6","","27587.46","","103.7","","111.5",""
"2022年11月","00000","全国","2.4","","27968.99","","103.9","","110.9",""
"2022年12月","00000","全国","2.3","","26094.50","","104.1","","109.9",""
"2023年1月","00000","全国","2.4","","27327.11","","104.7","","109.0",""
"2023年2月","00000","全国","2.5","","27445.56","","104.0","","109.4",""
"2023年3月","00000","全国","2.8","","28041.48","","104.4","","109.2",""
"2023年4月","00000","全国","2.7","","28856.44","","105.1","","109.0",""
"2023年5月","00000","全国","2.7","","30887.88","","105.1","","110.0",""
"2023年6月","00000","全国","2.6","","33189.04","","105.2","","110.4",""
"2023年7月","00000","全国","2.6","","33172.22","","105.7","","110.0",""
"2023年8月","00000","全国","2.7","","32619.34","","105.9","","110.8",""
"2023年9月","00000","全国","2.6","","31857.62","","106.2","","110.6",""
"2023年10月","00000","全国","2.5","","30858.85","","107.1","","109.7",""
"2023年11月","00000","全国","2.4","","33486.89","","106.9","","109.7",""
"2023年12月","00000","全国","2.3","","33464.17","","106.8","","110.8",""
"2024年1月","00000","全国","2.4","","36286.71","","106.9","","110.3",""
"2024年2月","00000","全国","2.6","","39166.19","","106.9","","111.8",""
"2024年3月","00000","全国","2.7","","40369.44","","107.2","","111.8",""
"2024年4月","00000","全国","2.8","","38405.66","","107.7","","111.0",""
"2024年5月","00000","全国","2.8","","38487.90","","108.1","","111.0",""
"2024年6月","00000","全国","2.6","","39583.08","","108.2","","109.7",""
"2024年7月","00000","全国","2.7","","39101.82","","108.6","","109.4",""
